Operateur;x;y;2G;3G;4G
20801;-4.079;48.502;0;1;0
20820;-4.024;48.098;1;1;1
20810;-4.024;48.098;1;1;1
20815;-4.024;48.098;0;1;1
20820;-4.028;48.153;1;1;1
20810;-4.028;48.153;1;1;1
20820;-4.063;48.424;1;1;1
20810;-4.063;48.424;1;1;1
20801;-3.986;47.86;0;1;1
20810;-4.0;47.984;1;1;1
20820;-3.999;47.983;1;1;1
20801;-4.069;48.507;1;1;1
20820;-3.997;47.971;1;1;1
20810;-3.997;47.971;1;1;1
20815;-3.997;47.971;0;1;1
20801;-4.068;48.524;1;1;0
20810;-3.986;47.91;1;1;1
20820;-3.986;47.91;1;1;1
20801;-4.063;48.492;1;1;0
20810;-4.062;48.492;1;1;1
20820;-4.062;48.492;1;1;1
20820;-4.006;48.087;1;1;1
20810;-4.006;48.087;1;1;1
20801;-3.983;47.937;1;1;0
20801;-4.058;48.514;0;1;1
20820;-4.076;48.655;1;1;1
20810;-4.076;48.655;1;1;1
20801;-3.99;48.024;1;1;0
20820;-4.06;48.56;1;1;1
20810;-4.06;48.56;1;1;1
20815;-4.052;48.516;0;1;1
20820;-3.99;48.099;1;0;0
20810;-4.049;48.577;1;1;1
20820;-4.049;48.577;1;1;1
20801;-4.049;48.577;1;1;1
20801;-3.956;47.913;1;1;1
20801;-3.979;48.111;1;1;1
20820;-4.008;48.346;1;1;0
20810;-4.008;48.346;1;1;0
20815;-4.008;48.346;0;1;0
20801;-4.008;48.346;1;1;0
20810;-4.028;48.503;1;1;1
20820;-4.028;48.503;1;1;1
20801;-3.946;47.963;1;1;0
20820;-3.945;47.962;1;1;1
20815;-3.945;47.962;0;1;1
20810;-3.945;47.962;1;1;1
20801;-3.926;47.872;1;1;0
20810;-3.928;47.92;1;1;1
20820;-3.928;47.921;1;1;1
20815;-3.928;47.921;0;1;1
20801;-3.919;47.871;1;1;1
20815;-3.917;47.881;0;1;1
20820;-3.917;47.882;1;1;1
20810;-3.917;47.882;1;1;1
20801;-3.917;47.881;1;1;0
20810;-4.015;48.632;1;1;1
20820;-4.015;48.632;1;1;1
20820;-3.967;48.292;1;1;1
20810;-3.967;48.292;1;1;1
20820;-4.026;48.745;1;0;0
20810;-3.956;48.226;1;1;1
20820;-3.956;48.226;1;1;1
20815;-3.956;48.226;0;1;1
20815;-3.911;47.902;0;1;1
20801;-3.911;47.902;1;1;0
20801;-3.962;48.295;1;1;0
20810;-4.015;48.696;1;1;1
20820;-4.015;48.696;1;1;1
20801;-3.952;48.228;1;1;0
20801;-3.903;47.865;1;1;1
20820;-3.905;47.895;1;1;1
20810;-3.905;47.895;1;1;1
20815;-4.005;48.691;0;1;1
20801;-4.005;48.691;1;1;0
20810;-4.011;48.746;0;1;0
20820;-3.909;47.98;1;1;1
20810;-3.909;47.98;1;1;1
20820;-3.991;48.633;1;1;1
20815;-3.991;48.633;0;1;1
20801;-3.975;48.528;1;1;1
20801;-3.886;47.86;1;1;0
20801;-3.987;48.658;1;1;0
20810;-3.88;47.877;1;1;1
20820;-3.88;47.877;1;1;1
20801;-3.88;47.877;1;1;0
20820;-3.91;48.133;1;1;1
20810;-3.91;48.133;1;1;1
20801;-3.987;48.712;1;1;0
20810;-3.981;48.669;1;1;1
20801;-3.981;48.668;1;1;1
20810;-3.987;48.712;1;1;1
20820;-3.987;48.712;1;1;1
20820;-3.981;48.668;1;1;1
20815;-3.981;48.668;0;1;0
20801;-3.868;47.858;0;1;0
20801;-3.884;47.994;1;1;0
20810;-3.876;47.991;1;1;1
20820;-3.876;47.991;1;1;1
20815;-3.876;47.991;0;1;1
20815;-3.97;48.721;0;1;0
20820;-3.969;48.721;1;1;1
20810;-3.969;48.721;1;1;1
20801;-3.968;48.722;0;1;1
20810;-3.864;47.949;1;1;1
20820;-3.864;47.949;1;1;1
20820;-3.937;48.525;1;1;1
20815;-3.936;48.525;0;1;1
20810;-3.936;48.525;1;1;1
20815;-3.841;47.803;0;1;0
20801;-3.841;47.804;1;1;0
20801;-3.852;47.903;1;1;0
20810;-3.852;47.903;1;1;1
20820;-3.852;47.903;1;1;1
20815;-3.852;47.903;0;1;1
20820;-3.836;47.809;1;1;1
20810;-3.836;47.809;1;1;1
20801;-3.84;47.854;1;1;1
20820;-3.829;47.856;1;1;1
20815;-3.829;47.856;0;1;1
20810;-3.829;47.857;1;1;1
20801;-3.837;47.97;0;1;1
20820;-3.837;47.97;1;1;1
20810;-3.837;47.97;1;1;1
20801;-3.831;47.951;0;1;1
20801;-3.889;48.413;1;1;0
20820;-3.889;48.413;1;1;1
20815;-3.889;48.413;0;1;1
20810;-3.889;48.413;1;1;1
20810;-3.913;48.659;1;1;1
20801;-3.913;48.659;1;1;0
20820;-3.913;48.659;1;1;1
20801;-3.795;47.823;1;1;0
20815;-3.897;48.613;0;1;1
20801;-3.897;48.613;1;1;0
20820;-3.897;48.613;1;1;0
20810;-3.897;48.613;1;1;0
20801;-3.824;48.068;1;1;0
20810;-3.881;48.509;1;1;1
20801;-3.881;48.51;1;1;1
20820;-3.881;48.51;1;1;1
20810;-3.823;48.068;1;1;1
20820;-3.823;48.068;1;1;1
20815;-3.823;48.068;0;1;1
20820;-3.884;48.551;1;1;0
20801;-3.884;48.551;1;1;0
20815;-3.878;48.51;0;1;1
20810;-3.798;47.892;1;1;1
20820;-3.798;47.892;1;1;1
20815;-3.798;47.892;0;1;1
20801;-3.823;48.189;1;1;1
20820;-3.818;48.2;1;1;1
20810;-3.817;48.2;1;1;1
20820;-3.869;48.62;1;1;0
20810;-3.869;48.62;1;1;0
20815;-3.869;48.62;0;1;0
20801;-3.869;48.62;1;1;0
20810;-3.82;48.246;1;1;1
20820;-3.819;48.246;1;1;1
20801;-3.757;47.804;1;1;1
20820;-3.757;47.804;1;1;1
20810;-3.757;47.804;1;1;1
20801;-3.855;48.565;1;1;1
20801;-3.856;48.582;0;1;0
20820;-3.775;47.962;1;1;1
20815;-3.775;47.962;0;1;1
20810;-3.775;47.962;1;1;1
20820;-3.852;48.573;1;1;1
20820;-3.801;48.183;1;1;1
20810;-3.801;48.183;1;1;1
20815;-3.801;48.183;0;1;1
20810;-3.85;48.561;1;1;1
20820;-3.849;48.561;1;1;1
20815;-3.849;48.561;0;1;1
20801;-3.758;47.882;1;1;0
20801;-3.746;47.859;1;1;1
20810;-3.746;47.858;1;1;1
20820;-3.746;47.858;1;1;1
20815;-3.746;47.858;0;1;1
20820;-3.83;48.569;1;0;0
